epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635346035774,2021-10-27T10.47.15.774,5.410,0.603,-0.011,0.794
1635346035793,2021-10-27T10.47.15.793,5.429,0.603,-0.011,0.794
1635346035814,2021-10-27T10.47.15.814,5.450,0.603,-0.011,0.792
1635346035834,2021-10-27T10.47.15.834,5.470,0.606,-0.012,0.792
1635346035853,2021-10-27T10.47.15.853,5.489,0.605,-0.011,0.793
1635346035874,2021-10-27T10.47.15.874,5.510,0.604,-0.011,0.792
1635346035893,2021-10-27T10.47.15.893,5.529,0.605,-0.010,0.791
1635346035913,2021-10-27T10.47.15.913,5.549,0.606,-0.010,0.794
1635346035934,2021-10-27T10.47.15.934,5.570,0.604,-0.008,0.795
1635346035953,2021-10-27T10.47.15.953,5.589,0.603,-0.008,0.793
1635346035973,2021-10-27T10.47.15.973,5.609,0.604,-0.011,0.793
1635346035992,2021-10-27T10.47.15.992,5.628,0.603,-0.012,0.791
1635346036013,2021-10-27T10.47.16.013,5.649,0.604,-0.012,0.793
1635346036032,2021-10-27T10.47.16.032,5.668,0.603,-0.012,0.795
1635346036052,2021-10-27T10.47.16.052,5.688,0.605,-0.011,0.791
1635346036073,2021-10-27T10.47.16.073,5.709,0.605,-0.010,0.792
1635346036092,2021-10-27T10.47.16.092,5.728,0.604,-0.010,0.795
1635346036112,2021-10-27T10.47.16.112,5.748,0.604,-0.010,0.795
1635346036131,2021-10-27T10.47.16.131,5.767,0.604,-0.010,0.792
1635346036152,2021-10-27T10.47.16.152,5.788,0.604,-0.010,0.792
1635346036172,2021-10-27T10.47.16.172,5.808,0.604,-0.007,0.794
1635346036191,2021-10-27T10.47.16.191,5.827,0.604,-0.008,0.795
1635346036212,2021-10-27T10.47.16.212,5.848,0.604,-0.010,0.793
1635346036231,2021-10-27T10.47.16.231,5.867,0.606,-0.012,0.792
1635346036252,2021-10-27T10.47.16.252,5.888,0.606,-0.013,0.792
1635346036271,2021-10-27T10.47.16.271,5.907,0.604,-0.013,0.792
1635346036291,2021-10-27T10.47.16.291,5.927,0.600,-0.007,0.795
1635346036312,2021-10-27T10.47.16.312,5.948,0.603,-0.008,0.794
1635346036331,2021-10-27T10.47.16.331,5.967,0.606,-0.016,0.790
1635346036351,2021-10-27T10.47.16.351,5.987,0.604,-0.011,0.793
1635346036370,2021-10-27T10.47.16.370,6.006,0.605,-0.004,0.795
1635346036391,2021-10-27T10.47.16.391,6.027,0.605,-0.008,0.793
1635346036410,2021-10-27T10.47.16.410,6.046,0.605,-0.010,0.794
1635346036430,2021-10-27T10.47.16.430,6.066,0.602,-0.007,0.793
1635346036451,2021-10-27T10.47.16.451,6.087,0.600,-0.007,0.793
1635346036470,2021-10-27T10.47.16.470,6.106,0.601,-0.011,0.793
1635346036490,2021-10-27T10.47.16.490,6.126,0.603,-0.012,0.792
1635346036509,2021-10-27T10.47.16.509,6.145,0.604,-0.009,0.791
1635346036530,2021-10-27T10.47.16.530,6.166,0.606,-0.011,0.790
1635346036550,2021-10-27T10.47.16.550,6.186,0.603,-0.012,0.793
1635346036569,2021-10-27T10.47.16.569,6.205,0.604,-0.007,0.794
1635346036590,2021-10-27T10.47.16.590,6.226,0.608,-0.010,0.791
1635346036609,2021-10-27T10.47.16.609,6.245,0.605,-0.007,0.792
1635346036629,2021-10-27T10.47.16.629,6.265,0.603,-0.004,0.795
1635346036648,2021-10-27T10.47.16.648,6.284,0.604,-0.011,0.795
1635346036669,2021-10-27T10.47.16.669,6.305,0.605,-0.012,0.792
1635346036689,2021-10-27T10.47.16.689,6.325,0.604,-0.010,0.794
1635346036709,2021-10-27T10.47.16.709,6.345,0.604,-0.011,0.795
1635346036729,2021-10-27T10.47.16.729,6.365,0.604,-0.011,0.793
1635346036748,2021-10-27T10.47.16.748,6.384,0.604,-0.013,0.791
1635346036769,2021-10-27T10.47.16.769,6.405,0.604,-0.014,0.792
1635346036788,2021-10-27T10.47.16.788,6.424,0.603,-0.008,0.792
1635346036808,2021-10-27T10.47.16.808,6.444,0.603,-0.008,0.791
1635346036829,2021-10-27T10.47.16.829,6.465,0.606,-0.010,0.792
1635346036848,2021-10-27T10.47.16.848,6.484,0.604,-0.007,0.794
1635346036868,2021-10-27T10.47.16.868,6.504,0.604,-0.004,0.794
1635346036887,2021-10-27T10.47.16.887,6.523,0.604,-0.008,0.792
1635346036908,2021-10-27T10.47.16.908,6.544,0.602,-0.013,0.793
1635346036928,2021-10-27T10.47.16.928,6.564,0.602,-0.011,0.796
1635346036947,2021-10-27T10.47.16.947,6.583,0.604,-0.012,0.793
1635346036968,2021-10-27T10.47.16.968,6.604,0.603,-0.014,0.792
1635346036987,2021-10-27T10.47.16.987,6.623,0.604,-0.011,0.792
1635346037007,2021-10-27T10.47.17.007,6.643,0.604,-0.008,0.792
1635346037026,2021-10-27T10.47.17.026,6.662,0.603,-0.009,0.794
1635346037047,2021-10-27T10.47.17.047,6.683,0.602,-0.009,0.795
1635346037067,2021-10-27T10.47.17.067,6.703,0.603,-0.009,0.792
1635346037086,2021-10-27T10.47.17.086,6.722,0.604,-0.007,0.792
1635346037107,2021-10-27T10.47.17.107,6.743,0.604,-0.008,0.795
1635346037126,2021-10-27T10.47.17.126,6.762,0.604,-0.010,0.792
1635346037147,2021-10-27T10.47.17.147,6.783,0.604,-0.011,0.793
1635346037167,2021-10-27T10.47.17.167,6.803,0.605,-0.012,0.793
1635346037186,2021-10-27T10.47.17.186,6.822,0.604,-0.012,0.792
1635346037207,2021-10-27T10.47.17.207,6.843,0.604,-0.011,0.792
1635346037226,2021-10-27T10.47.17.226,6.862,0.604,-0.009,0.794
1635346037246,2021-10-27T10.47.17.246,6.882,0.604,-0.008,0.795
1635346037265,2021-10-27T10.47.17.265,6.901,0.603,-0.009,0.794
1635346037286,2021-10-27T10.47.17.286,6.922,0.604,-0.008,0.795
1635346037306,2021-10-27T10.47.17.306,6.942,0.603,-0.010,0.793
1635346037325,2021-10-27T10.47.17.325,6.961,0.603,-0.008,0.793
1635346037346,2021-10-27T10.47.17.346,6.982,0.604,-0.008,0.796
1635346037365,2021-10-27T10.47.17.365,7.001,0.603,-0.010,0.795
1635346037385,2021-10-27T10.47.17.385,7.021,0.603,-0.010,0.792
1635346037404,2021-10-27T10.47.17.404,7.040,0.604,-0.008,0.792
1635346037425,2021-10-27T10.47.17.425,7.061,0.605,-0.011,0.793
1635346037445,2021-10-27T10.47.17.445,7.081,0.604,-0.010,0.795
1635346037464,2021-10-27T10.47.17.464,7.100,0.606,-0.009,0.794
1635346037485,2021-10-27T10.47.17.485,7.121,0.604,-0.011,0.792
1635346037504,2021-10-27T10.47.17.504,7.140,0.604,-0.011,0.793
1635346037524,2021-10-27T10.47.17.524,7.160,0.604,-0.012,0.793
1635346037545,2021-10-27T10.47.17.545,7.181,0.603,-0.010,0.795
1635346037564,2021-10-27T10.47.17.564,7.200,0.603,-0.010,0.792
1635346037585,2021-10-27T10.47.17.585,7.221,0.603,-0.009,0.793
